City,Category,Name of the Organisation,Description and/or Service Provided,Phone Number,Contact
Ranchi,CoVID-19 Testing Lab,Rajendra Institute of Medical Sciences,Government approved and supported Testing labs by ICMR,651 254 1533,https://www.rimsranchi.org/
Ranchi,Hospitals and Centers,Rajendra institute of medical sciences,Updates from Jharkhand,9634894189,https://www.rimsranchi.org
Rohtak,CoVID-19 Testing Lab,Pt. B.D. Sharma Post Graduate Inst. of Med. Sciences,Government approved and supported Testing labs by ICMR,1262 281 307,https://icmr.nic.in/sites/default/files/upload_documents/Govt_COVID19_Testing_Lab_ICMR_Support_29032020_V1.pdf
Salem,CoVID-19 Testing Lab,Kumar Mangalam Govt. Medical College,Government approved and supported Testing labs by ICMR,0427 2383313,http://www.gmkmc.ac.in/gmkmc/
Salem,CoVID-19 Testing Lab,Kumar Mangalam Govt. Medical College,Government approved and supported Testing labs by ICMR,427 238 3313,http://www.gmkmc.ac.in/gmkmc/
Secunderabad,CoVID-19 Testing Lab,Gandhi Medical College,Government approved and supported Testing labs by ICMR,040 27502742,https://www.gandhihospital.in/
Secunderabad,CoVID-19 Testing Lab,Gandhi Medical College,Government approved and supported Testing labs by ICMR,40 2750 2742,http://www.gandhihospital.in/
Shimla,CoVID-19 Testing Lab,Indira Gandhi Medical College,Government approved and supported Testing labs by ICMR,177 265 4713,https://icmr.nic.in/sites/default/files/upload_documents/Govt_COVID19_Testing_Lab_ICMR_Support_29032020_V1.pdf
Shimoga,Government Helpline,District Corona Help Line,District Corona Help Line,08182221010,http://shimoga.nic.in
Shimoga,CoVID-19 Testing Lab,"Shimoga Instt. of Medical Sciences, Shivamoga Inst. of Med. Sciences",Government approved and supported Testing labs by ICMR,0818 2229933,https://sims-shimoga.com/
Shimoga,CoVID-19 Testing Lab,Shimoga Instt. of Medical Sciences,Government approved and supported Testing labs by ICMR,08182269666,https://sims-shimoga.com/
Silchar,CoVID-19 Testing Lab,Silchar Medical College,Government approved and supported Testing labs by ICMR,3842229110,https://icmr.nic.in/sites/default/files/upload_documents/Govt_COVID19_Testing_Lab_ICMR_Support_29032020_V1.pdf
Solapur,CoVID-19 Testing Lab,V. M. Government Medical College,Government approved and supported Testing labs by ICMR,217 274 9401,http://vmgmc.edu.in/
Sonipat,CoVID-19 Testing Lab, BPS Govt. Medical College,Government approved and supported Testing labs by ICMR,1263 283 025,https://icmr.nic.in/sites/default/files/upload_documents/Govt_COVID19_Testing_Lab_ICMR_Support_29032020_V1.pdf
Srinagar,Hospitals and Centers,SMHS Hospital,Government of JK,9419008579,
Srinagar,CoVID-19 Testing Lab, Sher-i-Kashmir Institute of Medical Sciences,Government approved and supported Testing labs by ICMR,194 240 1013,https://icmr.nic.in/sites/default/files/upload_documents/Govt_COVID19_Testing_Lab_ICMR_Support_29032020_V1.pdf
Srinagar,CoVID-19 Testing Lab,Government Medical College,Government approved and supported Testing labs by ICMR,194 245 3114,https://icmr.nic.in/sites/default/files/upload_documents/Govt_COVID19_Testing_Lab_ICMR_Support_29032020_V1.pdf
Surat,CoVID-19 Testing Lab,Govt. Medical College,Government approved and supported Testing labs by ICMR,261 224 4175,https://icmr.nic.in/sites/default/files/upload_documents/Govt_COVID19_Testing_Lab_ICMR_Support_29032020_V1.pdf
Thane,Free Food,Anjuman e Khandesh,Provide food,8108287868,https://m.facebook.com/anjumane.khandesh
Thane,Fundraisers,Muse Foundation,"""Thane Municipal Corporation's shelter home in Naupada is in need of essential items mentioned below:  63 kilos of turdal 300 kilos of rice  37 units of soap 37 units of paste tubes 37 units of sanitizer 37 units of brushes  Contributions will be spent in making sure the homeless persons at the shelter are provided all the above-mentioned necessities.""",9833500987,https://www.facebook.com/musefoundationwts/
Thane,Free Food,Muse Foundation,Food and essentials for sheltered home and laborers,8858887007,https://feedback.facebook.com/pg/musefoundationwts/posts/?ref=page_internal
Thiruvananthapuram,Police,Cyberdome Kerala police,"To provide e- curfew pass, Affidavit & pass",9497930229,http://twitter.com/cyberdomekerala
Thiruvananthapuram,Hospitals and Centers,Govt. Medical College,Goverment of Kerala run Medical Collge now specialized for Covid treatment,0471-2528386,https://tmc.kerala.gov.in/
Thiruvananthapuram,Hospitals and Centers,GH TVM,ISOLATION,9447753851,https://trivandrum.nic.in/public-utility/general-hospital-trivanrum/
Thiruvananthapuram,Government Helpline,Help for Migrant Workers Kerala,Government of Kerala helpline to address concerns of migrant workers,155214,http://www.keralacm.gov.in
Thiruvananthapuram,CoVID-19 Testing Lab,Sree Chitra Tirunal Institute of Medical Sciences,Government approved and supported Testing labs by ICMR,0471 2443152,https://www.sctimst.ac.in/
Thiruvananthapuram,CoVID-19 Testing Lab, Rajiv Gandhi Center for Biotechnology,Government approved and supported Testing labs by ICMR,0471 2529400,https://www.rgcb.res.in/
Thiruvananthapuram,CoVID-19 Testing Lab,Govt. Medical College,Government approved and supported Testing labs by ICMR,0471 2528300,https://tmc.kerala.gov.in/
Thiruvananthapuram,CoVID-19 Testing Lab,Govt. Medical College,Government approved and supported Testing labs by ICMR,471 252 8300,https://tmc.kerala.gov.in/
Thiruvananthapuram,CoVID-19 Testing Lab,rajiv gandhi center for biotechnology,Government approved and supported Testing labs by ICMR,471 252 9400,https://www.rgcb.res.in/
Thiruvananthapuram,CoVID-19 Testing Lab,Sree Chitra Tirunal Institute of Medical Sciences,Government approved and supported Testing labs by ICMR,471 244 3152,https://www.sctimst.ac.in/
Thiruvananthapuram,CoVID-19 Testing Lab,State Public Health Laboratory,Government approved and supported Testing labs by ICMR,471 247 2225,https://icmr.nic.in/sites/default/files/upload_documents/Govt_COVID19_Testing_Lab_ICMR_Support_29032020_V1.pdf
Thrissur,Hospitals and Centers,MED COLLEGE,MEDICAL COLLEGE,9447379549,http://gmctsr.org/
Thrissur,Government Helpline,District Corona Control Room,Phone number of District Corona Control room,9400410720,http://www.thrissur.nic.in
Thrissur,CoVID-19 Testing Lab, Govt. Medical College,Government approved and supported Testing labs by ICMR,0487 2200310,http://gmctsr.org/
Thrissur,CoVID-19 Testing Lab,Govt. Medical College,Government approved and supported Testing labs by ICMR,487 220 0310,http://gmctsr.org/portal/index.php
Tiruchirappalli,CoVID-19 Testing Lab,Govt. Medical College,Government approved and supported Testing labs by ICMR,431 240 1011,http://www.kapvgmc.ac.in/kapvgmc/
Tirunelveli,CoVID-19 Testing Lab,"Tirunelveli Medical College, Tirunelveli",Government approved and supported Testing labs by ICMR,0462 2572733,http://tvmc.ac.in/
Tirunelveli,CoVID-19 Testing Lab,Tirunelveli Medical College,Government approved and supported Testing labs by ICMR,462 257 2733,http://tvmc.ac.in/
Tirupati,Hospitals and Centers,Sri Venkateswara Institute of Medical Sciences,Government Testing Lab,NA,https://icmr.nic.in/content/covid-19
Tumkur,Government Helpline,District Corona Help Line,District Corona Help Line,08162278787,http://www.tumkur.nic.in
Udaipur,CoVID-19 Testing Lab, RNT Medical College,Government approved and supported Testing labs by ICMR,0294 2418258,https://education.rajasthan.gov.in/rntmcudaipur
Udaipur,CoVID-19 Testing Lab,RNT Medical College,Government approved and supported Testing labs by ICMR,294 241 8258,https://education.rajasthan.gov.in/rntmcudaipur
Udhampur,CoVID-19 Testing Lab,Command Hospital (NC) ,Government approved and supported Testing labs by ICMR,90856 23485,https://udhampur.nic.in/public-utility/%E0%A4%95%E0%A4%AE%E0%A4%BE%E0%A4%82%E0%A4%A1-%E0%A4%B9%E0%A5%89%E0%A4%B8%E0%A5%8D%E0%A4%AA%E0%A4%BF%E0%A4%9F%E0%A4%B2/
Udupi,Government Helpline,District Corona Help Line,District Corona Help Line,9663957222,http://udupi.nic.in
Vadodara,CoVID-19 Testing Lab,Govt. Medical College,Government approved and supported Testing labs by ICMR,0265 2424848,https://icmr.nic.in/sites/default/files/upload_documents/Govt_COVID19_Testing_Lab_ICMR_Support_29032020_V1.pdf
Varanasi,CoVID-19 Testing Lab," Institute of Medical Sciences, Banaras Hindu University",Government approved and supported Testing labs by ICMR,2367568,http://www.bhu.ac.in/ims/
Varanasi,CoVID-19 Testing Lab,"Institute of Medical Sciences, Banaras Hindu University",Government approved and supported Testing labs by ICMR,542 236 7568,http://www.bhu.ac.in/ims/
Vijayawada,Free Food,Amrutha Hastam Charitable Trust,"We are providing free food service to the needy from more than 2 years, now during lockdown we are distributing more than 10000 people daily during lockdown",9246472100,http://amruthahastam.org
Vijayawada,CoVID-19 Testing Lab,Sidhartha Medical College,Government Approved and Supported Testing Lab by ICMR,8662450390,https://icmr.nic.in/sites/default/files/upload_documents/Govt_COVID19_Testing_Lab_ICMR_Support_29032020_V1.pdf
Visakhapatnam,Government Helpline,AP COVID 19 Help Line,AP COVID 19 Help Line,104,http://hmfw.ap.gov.in
Visakhapatnam,Fundraisers,THE INTEGRATED RURAL DEVELOPMENT OF WEAKER SECTIONS IN INDIA,Volunteers and Staff to engage in awareness building and relief work,9849120377,http://www.irdwsi.in
Wayanad,Hospitals and Centers,GH KALPETTA,"ISOLATION
DR SREEKUMAR 9495150128",9495150128,http://www.dmowayanad.in/
Wayanad,Hospitals and Centers,Telemedicine support from Wayanad Administration,Telemedicine service by Wayanad district administration,04936203400,http://www.wayanad.nic.in
Wayanad,Free Food,Community Kitchen by Wayanad district administration,Free or subsidised food by district administration,9446445581,http://www.wayanad.nic.in
Wayanad,Mental well being and Emotional support,Mental Health Counselling Wayanad Administration,Mental Health counselling provided by Wayanad District Admin,04936202033,http://www.wayanad.nic.in
Wayanad,Government Helpline,District Corona Helpline,Wayanad district Corona helpline,04936204151,http://www.wayanad.nic.in
